id;titulo;zipNome;remotePath;destPath
"3172";"Matriz Bordado Uncisal Universidade Estadual Alagoas";"uncisal-ywvtld.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/uncisal-ywvtld.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\uncisal-ywvtld.zip"
"3177";"Matriz Bordado Medicina Ufersa";"medicinaufersa-41y4ma.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/medicinaufersa-41y4ma.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\medicinaufersa-41y4ma.zip"
"3183";"Matriz Bordado Volkswagen Golf Mk4";"Golf1-fprhye.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/Golf1-fprhye.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\Golf1-fprhye.zip"
"3195";"Matriz Bordado Águia Militar";"Aguia24cm-tusgur.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/Aguia24cm-tusgur.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\Aguia24cm-tusgur.zip"
"3202";"Matriz Bordado Enfermagem Unip Paulista";"enferunip-b4vxny.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/enferunip-b4vxny.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\enferunip-b4vxny.zip"
"3311";"Matriz Bordado Brasão Odontologia¹";"odontologia1-dmpoj8.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/odontologia1-dmpoj8.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\odontologia1-dmpoj8.zip"
"3316";"Matriz Bordado Facultad de Medicina Buenos Aires";"buenosaires-umccyw.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/buenosaires-umccyw.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\buenosaires-umccyw.zip"
"3323";"Matriz Bordado Brasão Micropigmentação";"micropigmentacao-4rq36m.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/micropigmentacao-4rq36m.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\micropigmentacao-4rq36m.zip"
"3329";"Matriz Bordado IFPA - Instituto Federal Pará";"77mm-w8dhee.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/77mm-w8dhee.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\77mm-w8dhee.zip"
"3338";"Matriz Bordado Brasão Fisioterapia 2";"fisioterapia2-4l3hxz.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/fisioterapia2-4l3hxz.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\fisioterapia2-4l3hxz.zip"
"3345";"Matriz Bordado Polícia Militar do Ceará";"policiaceara-z9sbxi.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/policiaceara-z9sbxi.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\policiaceara-z9sbxi.zip"
"3358";"Matriz Bordado UFOPA - Universidade Federal Oeste do Pará";"ufopa-vyqpy5.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/ufopa-vyqpy5.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\ufopa-vyqpy5.zip"
"3366";"Matriz Bordado Unopar Anhanguera";"unoparanhanguera-ksok2b.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/unoparanhanguera-ksok2b.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\unoparanhanguera-ksok2b.zip"
"3372";"Matriz Bordado Unopar";"unopar-3ge4up.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/unopar-3ge4up.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\unopar-3ge4up.zip"
"3377";"Matriz Bordado COPESP Comando de Operações Especiais";"copesp-wkfkgq.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/copesp-wkfkgq.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\copesp-wkfkgq.zip"
"3384";"Matriz Bordado Unipar - Universidade Paranaense";"UNIPAR-ut98cs.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/UNIPAR-ut98cs.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\UNIPAR-ut98cs.zip"
"3389";"Matriz Bordado Brasão Uepa";"uepabrasao-bkiicv.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/uepabrasao-bkiicv.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\uepabrasao-bkiicv.zip"
"3401";"Matriz Bordado Batalhão de Infantaria 11Bimth";"11bimth-mhgpig.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/11bimth-mhgpig.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\11bimth-mhgpig.zip"
"3409";"Matriz Bordado Pontifícia Universidade Católica PUC SP";"PUCSP-ejpayh.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/PUCSP-ejpayh.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\PUCSP-ejpayh.zip"
"3425";"Matriz Bordado Polícia Cientifica SP";"policiacientificasp-7o3ejg.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/policiacientificasp-7o3ejg.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\policiacientificasp-7o3ejg.zip"
"3430";"Matriz Bordado Polícia Civil BA";"policiacivilba-mn65xh.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/04/policiacivilba-mn65xh.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\policiacivilba-mn65xh.zip"
